Ano_0,Ano_1,Ano_2
1278.9984,1278.9984,1278.9984
1223.3688,1223.3688,1223.3688
1169.3629,1169.3629,1169.3629
1198.0409,1198.0409,1198.0409
1235.0977,1235.0977,1235.0977
1271.8842,1271.8842,1271.8842
1384.7693,1384.7693,1384.7693
1442.43,1442.43,1442.43
1518.0614,1518.0614,1518.0614
1610.2935,1610.2935,1610.2935
1623.85,1623.85,1623.85
1682.3147,1682.3147,1682.3147
1722.2191,1722.2191,1722.2191
1739.2767,1739.2767,1739.2767
1748.3073,1748.3073,1748.3073
1706.9427,1706.9427,1706.9427
1638.9978,1638.9978,1638.9978
1599.262,1599.262,1599.262
1571.11,1571.11,1571.11
1733.7432,1733.7432,1733.7432
1699.2616,1699.2616,1699.2616
1613.3657,1613.3657,1613.3657
1486.1761,1486.1761,1486.1761
1332.8472,1332.8472,1332.8472
1243.1669,1243.1669,1243.1669
1204.1415,1204.1415,1204.1415
1192.2412,1192.2412,1192.2412
1215.735,1215.735,1215.735
1259.8418,1259.8418,1259.8418
1308.6935,1308.6935,1308.6935
1428.0531,1428.0531,1428.0531
1539.8827,1539.8827,1539.8827
1590.981,1590.981,1590.981
1627.0298,1627.0298,1627.0298
1623.3788,1623.3788,1623.3788
1613.182,1613.182,1613.182
1594.4615,1594.4615,1594.4615
1586.7427,1586.7427,1586.7427
1597.7528,1597.7528,1597.7528
